Date,Price
2000-01-01,1710
2000-02-01,1520
2000-03-01,1730
2000-04-01,1540
2000-05-01,1750
2000-06-01,1560
2000-07-01,1770
2000-08-01,1580
2000-09-01,1790
2000-10-01,1600
2000-11-01,1810
2000-12-01,1620
2001-01-01,1810
2001-02-01,1620
2001-03-01,1830
2001-04-01,1640
2001-05-01,1850
2001-06-01,1660
2001-07-01,1870
2001-08-01,1680
2001-09-01,1890
2001-10-01,1700
2001-11-01,1910
2001-12-01,1720
2002-01-01,1910
2002-02-01,1720
2002-03-01,1930
2002-04-01,1740
2002-05-01,1950
2002-06-01,1760
2002-07-01,1970
2002-08-01,1780
2002-09-01,1990
2002-10-01,1800
2002-11-01,2010
2002-12-01,1820
2003-01-01,2010
2003-02-01,1820
2003-03-01,2030
2003-04-01,1840
2003-05-01,2050
2003-06-01,1860
2003-07-01,2070
2003-08-01,1880
2003-09-01,2090
2003-10-01,1900
2003-11-01,2110
2003-12-01,1920
2004-01-01,2110
2004-02-01,1920
2004-03-01,2130
2004-04-01,1940
2004-05-01,2150
2004-06-01,1960
2004-07-01,2170
2004-08-01,1980
2004-09-01,2190
2004-10-01,2000
2004-11-01,2210
2004-12-01,2020
2005-01-01,2210
2005-02-01,2020
2005-03-01,2230
2005-04-01,2040
2005-05-01,2250
2005-06-01,2060
2005-07-01,2270
2005-08-01,2080
2005-09-01,2290
2005-10-01,2100
2005-11-01,2310
2005-12-01,2120
2006-01-01,2310
2006-02-01,2120
2006-03-01,2330
2006-04-01,2140
2006-05-01,2350
2006-06-01,2160
2006-07-01,2370
2006-08-01,2180
2006-09-01,2390
2006-10-01,2200
2006-11-01,2410
2006-12-01,2220
2007-01-01,2410
2007-02-01,2220
2007-03-01,2430
2007-04-01,2240
2007-05-01,2450
2007-06-01,2260
2007-07-01,2470
2007-08-01,2280
2007-09-01,2490
2007-10-01,2300
2007-11-01,2510
2007-12-01,2320
2008-01-01,2510
2008-02-01,2320
2008-03-01,2530
2008-04-01,2340
2008-05-01,2550
2008-06-01,2360
2008-07-01,2570
2008-08-01,2380
2008-09-01,2590
2008-10-01,2400
2008-11-01,2610
2008-12-01,2420
2009-01-01,2610
2009-02-01,2420
2009-03-01,2630
2009-04-01,2440
2009-05-01,2650
2009-06-01,2460
2009-07-01,2670
2009-08-01,2480
2009-09-01,2690
2009-10-01,2500
2009-11-01,2710
2009-12-01,2520
