Date,Price
2000-01-01,450.5
2000-02-01,501.0
2000-03-01,401.5
2000-04-01,452.0
2000-05-01,502.5
2000-06-01,403.0
2000-07-01,453.5
2000-08-01,504.0
2000-09-01,404.5
2000-10-01,455.0
2000-11-01,505.5
2000-12-01,406.0
2001-01-01,460.5
2001-02-01,511.0
2001-03-01,411.5
2001-04-01,462.0
2001-05-01,512.5
2001-06-01,413.0
2001-07-01,463.5
2001-08-01,514.0
2001-09-01,414.5
2001-10-01,465.0
2001-11-01,515.5
2001-12-01,416.0
2002-01-01,470.5
2002-02-01,521.0
2002-03-01,421.5
2002-04-01,472.0
2002-05-01,522.5
2002-06-01,423.0
2002-07-01,473.5
2002-08-01,524.0
2002-09-01,424.5
2002-10-01,475.0
2002-11-01,525.5
2002-12-01,426.0
2003-01-01,480.5
2003-02-01,531.0
2003-03-01,431.5
2003-04-01,482.0
2003-05-01,532.5
2003-06-01,433.0
2003-07-01,483.5
2003-08-01,534.0
2003-09-01,434.5
2003-10-01,485.0
2003-11-01,535.5
2003-12-01,436.0
2004-01-01,490.5
2004-02-01,541.0
2004-03-01,441.5
2004-04-01,492.0
2004-05-01,542.5
2004-06-01,443.0
2004-07-01,493.5
2004-08-01,544.0
2004-09-01,444.5
2004-10-01,495.0
2004-11-01,545.5
2004-12-01,446.0
2005-01-01,500.5
2005-02-01,551.0
2005-03-01,451.5
2005-04-01,502.0
2005-05-01,552.5
2005-06-01,453.0
2005-07-01,503.5
2005-08-01,554.0
2005-09-01,454.5
2005-10-01,505.0
2005-11-01,555.5
2005-12-01,456.0
2006-01-01,510.5
2006-02-01,561.0
2006-03-01,461.5
2006-04-01,512.0
2006-05-01,562.5
2006-06-01,463.0
2006-07-01,513.5
2006-08-01,564.0
2006-09-01,464.5
2006-10-01,515.0
2006-11-01,565.5
2006-12-01,466.0
2007-01-01,520.5
2007-02-01,571.0
2007-03-01,471.5
2007-04-01,522.0
2007-05-01,572.5
2007-06-01,473.0
2007-07-01,523.5
2007-08-01,574.0
2007-09-01,474.5
2007-10-01,525.0
2007-11-01,575.5
2007-12-01,476.0
2008-01-01,530.5
2008-02-01,581.0
2008-03-01,481.5
2008-04-01,532.0
2008-05-01,582.5
2008-06-01,483.0
2008-07-01,533.5
2008-08-01,584.0
2008-09-01,484.5
2008-10-01,535.0
2008-11-01,585.5
2008-12-01,486.0
2009-01-01,540.5
2009-02-01,591.0
2009-03-01,491.5
2009-04-01,542.0
2009-05-01,592.5
2009-06-01,493.0
2009-07-01,543.5
2009-08-01,594.0
2009-09-01,494.5
2009-10-01,545.0
2009-11-01,595.5
2009-12-01,496.0
2010-01-01,550.5
2010-02-01,601.0
2010-03-01,501.5
2010-04-01,552.0
2010-05-01,602.5
2010-06-01,503.0
2010-07-01,553.5
2010-08-01,604.0
2010-09-01,504.5
2010-10-01,555.0
2010-11-01,605.5
2010-12-01,506.0
2011-01-01,560.5
2011-02-01,611.0
2011-03-01,511.5
2011-04-01,562.0
2011-05-01,612.5
2011-06-01,513.0
2011-07-01,563.5
2011-08-01,614.0
2011-09-01,514.5
